from_txn_id,to_region_code,is_home_country,channel
3000002,299.0,True,in_person
3000005,181.0,True,in_person
3000006,123.0,True,in_person
3000007,502.0,True,in_person
3000009,299.0,True,in_person
3000010,126.0,True,in_person
3000011,299.0,True,in_person
3000012,123.0,True,in_person
3000013,226.0,True,online
3000014,420.0,True,online
3000017,123.0,True,in_person
3000019,204.0,True,online
3000021,325.0,True,in_person
3000022,204.0,True,in_person
3000023,251.0,True,in_person
3000024,472.0,True,in_person
3000025,315.0,True,in_person
3000026,485.0,True,in_person
3000027,485.0,True,in_person
3000028,330.0,True,online
3000029,330.0,True,online
3000030,299.0,True,in_person
3000031,123.0,True,in_person
3000032,299.0,True,in_person
3000033,220.0,True,in_person
3000034,191.0,True,in_person
3000035,315.0,True,in_person
3000036,220.0,True,in_person
3000037,494.0,True,in_person
3000038,325.0,True,online
3000039,220.0,True,in_person
3000040,123.0,True,in_person
3000042,220.0,True,in_person
3000043,325.0,True,in_person
3000045,299.0,True,in_person
3000046,512.0,True,in_person
3000047,325.0,True,in_person
3000048,502.0,True,in_person
3000049,325.0,True,in_person
3000050,158.0,True,in_person
3000051,264.0,True,in_person
3000052,299.0,True,in_person
3000053,330.0,True,in_person
3000054,325.0,True,in_person
3000055,203.0,True,in_person
3000056,498.0,True,in_person
3000058,433.0,True,in_person
3000059,420.0,True,in_person
3000060,110.0,True,in_person
3000062,191.0,True,in_person
3000063,330.0,True,online
3000064,264.0,True,online
3000065,325.0,True,online
3000066,264.0,True,in_person
3000067,299.0,True,in_person
3000068,512.0,True,in_person
3000069,448.0,True,in_person
3000070,194.0,True,in_person
3000071,143.0,True,in_person
3000072,299.0,True,in_person
3000073,330.0,True,in_person
3000074,498.0,True,in_person
3000075,181.0,True,online
3000076,299.0,True,in_person
3000080,299.0,True,in_person
3000081,123.0,True,in_person
3000082,126.0,True,in_person
3000083,315.0,True,in_person
3000085,498.0,True,in_person
3000086,204.0,True,online
3000087,204.0,True,online
3000088,315.0,True,in_person
3000089,184.0,True,in_person
3000090,204.0,True,online
3000091,420.0,True,in_person
3000092,251.0,True,in_person
3000094,512.0,True,in_person
3000096,315.0,True,in_person
3000097,191.0,True,in_person
3000098,299.0,True,in_person
3000099,204.0,True,in_person
3000100,299.0,True,in_person
3000101,204.0,True,online
3000102,325.0,True,online
3000103,204.0,True,online
3000104,272.0,True,in_person
3000105,330.0,True,online
3000106,158.0,True,in_person
3000107,204.0,True,online
3000108,191.0,True,in_person
3000109,123.0,True,in_person
3000110,325.0,True,in_person
3000111,299.0,True,in_person
3000112,343.0,True,in_person
3000115,325.0,True,in_person
3000116,299.0,True,in_person
3000117,143.0,True,in_person
3000118,225.0,True,in_person
3000119,330.0,True,in_person
3000121,444.0,True,in_person
3000122,472.0,True,in_person
3000124,299.0,True,in_person
3000125,433.0,True,in_person
3000126,476.0,True,in_person
3000128,184.0,True,online
3000129,299.0,True,in_person
3000130,204.0,True,in_person
3000131,327.0,True,in_person
3000132,299.0,True,in_person
3000133,325.0,True,in_person
3000134,441.0,True,in_person
3000135,299.0,True,online
3000136,204.0,True,in_person
3000137,428.0,True,in_person
3000139,264.0,True,online
3000140,264.0,True,in_person
3000141,330.0,True,in_person
3000142,512.0,True,in_person
3000143,433.0,True,in_person
3000144,123.0,True,in_person
3000145,177.0,True,in_person
3000146,325.0,True,in_person
3000147,123.0,True,in_person
3000148,315.0,True,in_person
3000149,181.0,True,in_person
3000150,512.0,True,online
3000151,310.0,True,in_person
3000152,126.0,True,online
3000153,299.0,True,in_person
3000154,441.0,True,in_person
3000155,433.0,True,online
3000156,337.0,True,online
3000157,299.0,True,in_person
3000158,126.0,True,online
3000159,315.0,True,in_person
3000160,177.0,True,in_person
3000161,476.0,True,in_person
3000162,476.0,True,in_person
3000163,204.0,True,in_person
3000165,299.0,True,in_person
3000166,299.0,True,in_person
3000167,177.0,True,in_person
3000168,220.0,True,in_person
3000169,387.0,True,in_person
3000170,184.0,True,in_person
3000171,225.0,True,online
3000173,299.0,True,in_person
3000174,170.0,True,online
3000175,337.0,True,online
3000176,226.0,True,in_person
3000177,476.0,True,in_person
3000179,512.0,True,online
3000180,264.0,True,in_person
3000181,436.0,True,online
3000182,315.0,True,online
3000183,220.0,True,in_person
3000185,264.0,True,in_person
3000187,181.0,True,in_person
3000188,191.0,True,in_person
3000189,177.0,True,in_person
3000191,299.0,True,in_person
3000193,264.0,True,in_person
3000194,441.0,True,in_person
3000198,194.0,True,in_person
3000199,327.0,True,in_person
3000200,325.0,True,in_person
3000201,264.0,True,in_person
3000202,325.0,True,online
3000203,299.0,True,in_person
3000205,204.0,True,online
3000206,204.0,True,in_person
3000207,325.0,True,in_person
3000208,384.0,True,in_person
3000209,299.0,True,in_person
3000210,325.0,True,in_person
3000211,299.0,True,in_person
3000212,327.0,True,online
3000213,384.0,True,in_person
3000214,123.0,True,in_person
3000215,315.0,True,in_person
3000216,420.0,True,online
3000218,299.0,True,in_person
